"","Psammocora","Pocillopora","Stylopora","Acropora","Montipora","Fungia","Halomitra","Pavona","Coeloseris","Galaxea","Symphyllia","Lobophyllia","Porites","Goniopora","Favia","Favites","Goniastrea","Dulophyllia","Platygyra","Hydnopora","Leptastrea","Cyphastrea","Millepora","Heliopora"
"Y84R8",0,0,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
"Y84R9",0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0
"Y84R10",0,0,0,0,32.8,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0
"Y85R1",0,0,0,9.4,3,0,0,3.1,0,2.7,0,3,23.3,3,0,1.8,0,0,0,0,0,1.5,0,0
"Y85R2",0,0,0,3.2,16.9,0.9,0,0,0,0,0,3,18.6,0,0.8,0,0,0,2.5,0,0,0,0,0
"Y85R3",0,0,0,9,16.3,0,0,3.7,0,0,1.5,0,29.3,0,0,0,0,0,1.8,0,0,0,0,0
"Y85R4",0,0,0,2.7,12.2,0,0,0,0,0,0,0,17.4,0,0,0,0,0,9.2,0,0,0,0,0
"Y85R5",0,0,0,0,22.9,0,0,5.2,0,0,0,0,30.7,0,0,0,0,0,0,0,0,0,0,0
"Y85R6",0,0,0,0,20.9,0,0,0,0,0,0,0,15.4,0,0,0,0,0,5,0,0,0,0,0
"Y85R7",0,0,0,0,12.8,0,0,0,0,0,0,0,9.1,0,0,0,0,0,3.3,0,0,0,0,0
"Y85R8",0,0,0,0,26.2,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0
"Y85R9",0,0,0,0,21.1,0,0,0,0,0,0,0,19.8,0,0,0,0,0,3.7,0,0,0,0,0
"Y85R10",0,0,0,0,52.7,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0
"Y87R1",0,1.8,0,15.9,1.7,0,0,0,0,3.5,0,0,7.9,0,0,2.7,0,0,0,3.5,0,0,2.1,0
"Y87R2",0,0,0,23.7,5.7,0,0,0,0,3.2,0,0,16.8,0,0,1.1,0,0,0,0,0,0,0,0
"Y87R3",0,0,0,16.5,2.1,0,0,0,2.4,0,0,0,11,0,0,1,0,0,0,1.4,0,0,0,0
"Y87R4",0,0,0,11.4,8.8,0,0,0,0,1.1,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
"Y87R5",0,0,0,2.9,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0
"Y87R6",0,0,0,4,17.7,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,1.8,0,0,0,0
"Y87R7",0,0,0,3.5,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0
"Y87R8",0,0,0,2.2,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y87R9",0,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y87R10",0,0,0,0,88.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y88R1",0,0,0,23.2,0,3.3,0,4.5,0,3,0,0,16.5,0,0,0,0,0,0,0,0,2.4,0,0.8
"Y88R2",0,0,0,24.2,0,0,0,1.5,0,0,0,1.5,19.2,0,2.1,0,0,0,0,0,0,0,0,0
"Y88R3",0,0,0,22.5,0,1.2,0,2.1,0,0,0,2.7,18.1,0,0,1.2,0,0,0,0,0,0,0,0
"Y88R4",0,0,0,5.3,0,1.7,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0
"Y88R5",0,0,0,1.7,1.3,1.7,0,0,0,0,0,3,8.2,0,0,0,0,0,0,0,0,0,0,0
"Y88R6",0,0,0,3,2.5,2.4,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
"Y88R7",0,1,0,2.4,2.5,2,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0
"Y88R8",0,0,0,3.2,5.8,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
"Y88R9",0,3,0,0,80.7,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
"Y88R10",0,0,0,0,24.9,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0
